country+AF8-name,continent,spatial,temporal
aland,Europe,5,11
albania,Europe,3,8
algeria,Africa,5,11
andorra,Europe,5,11
austria,Europe,5,11
belarus,Europe,5,11
belgium,Europe,5,11
bosnia+AF8-and+AF8-herzegovina,Europe,3,8
bulgaria,Europe,3,8
canada,North America,5,11
croatia,Europe,3,8
czechia,Europe,5,11
denmark,Europe,5,11
djibouti,Africa,5,11
egypt,Africa,5,11
estonia,Europe,5,11
faroe+AF8-islands,Europe,5,11
finland,Europe,5,11
france,Europe,5,11
germany,Europe,5,11
greece,Europe,3,8
guernsey,Europe,3,8
hong+AF8-kong,Asia,5,11
hungary,Europe,3,8
iceland,Europe,5,11
ireland,Europe,5,11
isle+AF8-of+AF8-man,Europe,3,8
italy,Europe,3,8
jersey,Europe,3,8
jordan,Asia,5,11
kosovo,Europe,3,8
kuwait,Asia,5,11
latvia,Europe,5,11
lebanon,Asia,5,11
libya,Africa,5,11
liechtenstein,Europe,5,11
lithuania,Europe,5,11
luxembourg,Europe,5,11
macedonia,Europe,3,8
malta,Europe,3,8
mauritania,Africa,5,11
moldova,Europe,3,8
monaco,Europe,5,11
mongolia,Asia,5,11
montenegro,Europe,3,8
morocco,Africa,5,11
netherlands,Europe,5,11
northern+AF8-cyprus,europe,5,11
norway,Europe,5,11
oman,Asia,5,11
palestine,Asia,5,11
poland,Europe,5,11
portugal,Europe,3,8
qatar,Asia,5,11
republic+AF8-of+AF8-serbia,Europe,3,8
romania,Europe,3,8
russia,Europe,5,11
saudi+AF8-arabia,Asia,5,11
slovakia,Europe,5,11
slovenia,Europe,3,8
somalia,Africa,5,11
somaliland,Africa,5,11
spain,Europe,3,8
sweden,Europe,5,11
switzerland,Europe,5,11
syria,Asia,3,8
tunisia,Africa,5,11
ukraine,Europe,3,8
united+AF8-arab+AF8-emirates,Asia,5,11
united+AF8-kingdom,Europe,5,11
usa+AF8-alaska,North America,5,11
usa+AF8-lower48,North America,5,11
vatican,Europe,5,11
western+AF8-sahara,Africa,5,11
yemen,Asia,5,11
afghanistan,Asia,3,8
american+AF8-samoa,Oceania,3,8
anguilla,North America,3,8
antigua+AF8-and+AF8-barbuda,Carribean,3,8
armenia,Asia,3,8
aruba,North America,3,8
ashmore+AF8-and+AF8-cartier+AF8-islands,Oceania,3,8
australia,Australia,3,8
azerbaijan,Asia,3,8
barbados,North America,3,8
belize,North America,3,8
bermuda,North America,3,8
bhutan,Asia,3,8
british+AF8-indian+AF8-ocean+AF8-territory,Oceania,3,8
