NA_L3CODE,NA_L3NAME,NA_L2CODE,NA_L2NAME,NA_L1CODE,NA_L1NAME,NA_L3KEY,NA_L2KEY,NA_L1KEY
1.1.1,Ellesmere and Devon Islands Ice Caps,1.1,Arctic Cordillera,1,Arctic Cordillera,1.1.1 Ellesmere and Devon Islands Ice Caps,1.1 Arctic Cordillera,1 Arctic Cordillera
1.1.2,Baffin and Torngat Mountains,1.1,Arctic Cordillera,1,Arctic Cordillera,1.1.2 Baffin and Torngat Mountains,1.1 Arctic Cordillera,1 Arctic Cordillera
10.1.1,Thompson-Okanogan Plateau,10.1,Cold Deserts,10,North American Deserts,10.1.1 Thompson-Okanogan Plateau,10.1 Cold Deserts,10 North American Deserts
10.1.2,Columbia Plateau,10.1,Cold Deserts,10,North American Deserts,10.1.2 Columbia Plateau,10.1 Cold Deserts,10 North American Deserts
10.1.3,Northern Basin and Range,10.1,Cold Deserts,10,North American Deserts,10.1.3 Northern Basin and Range,10.1 Cold Deserts,10 North American Deserts
10.1.4,Wyoming Basin,10.1,Cold Deserts,10,North American Deserts,10.1.4 Wyoming Basin,10.1 Cold Deserts,10 North American Deserts
10.1.5,Central Basin and Range,10.1,Cold Deserts,10,North American Deserts,10.1.5 Central Basin and Range,10.1 Cold Deserts,10 North American Deserts
10.1.6,Colorado Plateaus,10.1,Cold Deserts,10,North American Deserts,10.1.6 Colorado Plateaus,10.1 Cold Deserts,10 North American Deserts
10.1.7,Arizona/New Mexico Plateau,10.1,Cold Deserts,10,North American Deserts,10.1.7 Arizona/New Mexico Plateau,10.1 Cold Deserts,10 North American Deserts
10.1.8,Snake River Plain,10.1,Cold Deserts,10,North American Deserts,10.1.8 Snake River Plain,10.1 Cold Deserts,10 North American Deserts
10.2.1,Mojave Basin and Range,10.2,Warm Deserts,10,North American Deserts,10.2.1 Mojave Basin and Range,10.2 Warm Deserts,10 North American Deserts
10.2.2,Sonoran Desert,10.2,Warm Deserts,10,North American Deserts,10.2.2 Sonoran Desert,10.2 Warm Deserts,10 North American Deserts
